Catalog_Number,Date,TD_Greatest_Eclipse,Delta_T,Saros,Type,Type_Full,Gamma,Penumbral_Magnitude,Umbral_Magnitude,Penumbral_Duration_Min,Partial_Duration_Min,Total_Duration_Min,Zenith_Latitude,Zenith_Longitude,P1_UTC_ms,U1_UTC_ms,U2_UTC_ms,Max_UTC_ms,U3_UTC_ms,U4_UTC_ms,P4_UTC_ms
09207,1814-07-02,16:51:30,12,107,N,N,1.2225,0.6498,-0.4196,236.7,0,0,-22,108,-4907120823000,,,-4907113722000,,,-4907106621000
09208,1814-12-26,23:08:27,12,112,P,P,-0.7564,1.4573,0.4825,280.3,141.5,0,23,13,-4891806714000,-4891802550000,,-4891798305000,,-4891794060000,-4891789896000
09209,1815-06-21,18:06:32,12,117,T,T,0.4498,2.0575,1.0081,349.9,207.4,14.7,-23,89,-4876534117000,-4876529842000,-4876524061000,-4876523620000,-4876523179000,-4876517398000,-4876513123000
09210,1815-12-16,12:55:06,12,122,T,T-,-0.0906,2.6987,1.685,337.2,217.4,98.4,23,165,-4861173222000,-4861169628000,-4861166058000,-4861163106000,-4861160154000,-4861156584000,-4861152990000
09211,1816-06-10,01:14:25,12,127,T,T,-0.3368,2.2387,1.241,333.2,209.5,71.3,-23,-19,-4845922343000,-4845918632000,-4845914486000,-4845912347000,-4845910208000,-4845906062000,-4845902351000
09212,1816-12-04,20:35:14,12,132,P,P,0.6319,1.7338,0.6636,332.8,176.7,0,23,49,-4830559882000,-4830555199000,,-4830549898000,,-4830544597000,-4830539914000
09213,1817-05-01,07:44:01,12,99,N,N,1.4587,0.1554,-0.7931,103.9,0,0,-14,-116,-4817812088000,,,-4817808971000,,,-4817805854000
09214,1817-05-30,15:07:30,12,137,N,N,-1.0607,0.888,-0.0652,233.9,0,0,-23,132,-4815283779000,,,-4815276762000,,,-4815269745000
09215,1817-11-23,21:26:57,12,142,N,N,1.3435,0.4441,-0.6577,201.1,0,0,22,35,-4799967228000,,,-4799961195000,,,-4799955162000
09216,1818-04-21,00:20:29,12,109,P,P,0.7728,1.4222,0.4572,280.7,140,0,-11,-5,-4787172004000,-4787167783000,,-4787163583000,,-4787159383000,-4787155162000
09217,1818-10-14,05:25:27,12,114,P,P,-0.9175,1.1981,0.1512,289.7,90.3,0,7,-84,-4771947576000,-4771941594000,,-4771938885000,,-4771936176000,-4771930194000
