Catalog_Number,Date,TD_Greatest_Eclipse,Delta_T,Saros,Type,Type_Full,Gamma,Penumbral_Magnitude,Umbral_Magnitude,Penumbral_Duration_Min,Partial_Duration_Min,Total_Duration_Min,Zenith_Latitude,Zenith_Longitude,P1_UTC_ms,U1_UTC_ms,U2_UTC_ms,Max_UTC_ms,U3_UTC_ms,U4_UTC_ms,P4_UTC_ms
09317,1858-02-27,22:14:20,7,111,P,P,0.8252,1.3561,0.3316,293,126.9,0,9,30,-3529368737000,-3529363754000,,-3529359947000,,-3529356140000,-3529351157000
09318,1858-08-24,14:20:46,7,116,P,P,-0.7446,1.513,0.4707,316.7,153.4,0,-12,146,-3514018662000,-3514013763000,,-3514009161000,,-3514004559000,-3513999660000
09319,1859-02-17,10:43:28,7,121,T,T+,0.095,2.6727,1.6944,323.6,211.9,96.9,12,-157,-3498739107000,-3498735756000,-3498732306000,-3498729399000,-3498726492000,-3498723042000,-3498719691000
09320,1859-08-13,16:34:26,7,126,T,T+,0.0038,2.8877,1.8148,374.9,236,106.5,-15,113,-3483426788000,-3483422621000,-3483418736000,-3483415541000,-3483412346000,-3483408461000,-3483404294000
09321,1860-02-07,02:29:45,8,131,P,P,-0.579,1.7801,0.8106,296.8,173.7,0,15,-34,-3468095927000,-3468092234000,,-3468087023000,,-3468081812000,-3468078119000
09322,1860-08-01,17:25:03,8,136,P,P,0.7551,1.5003,0.445,322.2,152.3,0,-17,100,-3452836571000,-3452831474000,,-3452826905000,,-3452822336000,-3452817239000
09323,1860-12-28,03:33:54,8,103,N,N,1.5159,0.095,-0.9419,88.7,0,0,25,-53,-3440005835000,,,-3440003174000,,,-3440000513000
09324,1861-01-26,16:54:03,8,141,N,N,-1.2864,0.5002,-0.5052,189,0,0,17,109,-3437455235000,,,-3437449565000,,,-3437443895000
09325,1861-06-22,14:35:14,8,108,N,N,-1.1476,0.7397,-0.2355,223.2,0,0,-25,142,-3424763790000,,,-3424757094000,,,-3424750398000
09326,1861-07-21,23:50:38,8,146,N,N,1.4659,0.1695,-0.8334,116.6,0,0,-19,3,-3422221668000,,,-3422218170000,,,-3422214672000
09327,1861-12-17,08:18:43,8,113,P,P,0.888,1.2738,0.184,307.8,101.9,0,24,-125,-3409409719000,-3409403542000,,-3409400485000,,-3409397428000,-3409391251000
09328,1862-06-12,06:21:03,8,118,T,T,-0.3763,2.1387,1.1957,308.2,197.2,62.4,-24,-95,-3394123991000,-3394120661000,-3394116617000,-3394114745000,-3394112873000,-3394108829000,-3394105499000
09329,1862-12-06,07:40:21,7,123,T,T+,0.2157,2.5141,1.4112,374.9,229.3,91.5,23,-117,-3378828433000,-3378824065000,-3378819931000,-3378817186000,-3378814441000,-3378810307000,-3378805939000
09330,1863-06-01,23:26:14,7,128,T,T,0.3605,2.1729,1.2195,312.9,199.9,66.1,-22,8,-3363477020000,-3363473630000,-3363469616000,-3363467633000,-3363465650000,-3363461636000,-3363458246000
09331,1863-11-25,08:56:11,7,133,P,P,-0.476,2.017,0.9525,344.4,200.4,0,20,-137,-3348237368000,-3348233048000,,-3348227036000,,-3348221024000,-3348216704000
09332,1864-05-21,13:12:02,6,138,N,N,1.1502,0.748,-0.2531,230.6,0,0,-19,161,-3332839402000,,,-3332832484000,,,-3332825566000
09333,1864-10-15,06:30:47,6,105,N,N,1.5379,0.0228,-0.9512,41.1,0,0,10,-102,-3320156992000,,,-3320155759000,,,-3320154526000
09334,1864-11-13,17:21:25,6,143,N,N,-1.1402,0.7683,-0.2367,228.9,0,0,17,96,-3317617988000,,,-3317611121000,,,-3317604254000
09335,1865-04-11,04:38:10,6,110,P,P,-0.8856,1.2736,0.1929,310.4,105.4,0,-9,-69,-3304792628000,-3304786478000,,-3304783316000,,-3304780154000,-3304774004000
09336,1865-10-04,22:40:01,5,115,P,P,0.8386,1.2973,0.3408,267.6,121.2,0,5,17,-3289520032000,-3289515640000,,-3289512004000,,-3289508368000,-3289503976000
09337,1866-03-31,04:33:35,5,120,T,T-,-0.1614,2.6011,1.5232,370.4,230.7,98.2,-4,-67,-3274209102000,-3274204911000,-3274200936000,-3274197990000,-3274195044000,-3274191069000,-3274186878000
09338,1866-09-24,14:07:14,4,125,T,T+,0.1412,2.5904,1.6071,329.4,214.6,96,1,146,-3258880652000,-3258877208000,-3258873650000,-3258870770000,-3258867890000,-3258864332000,-3258860888000
09339,1867-03-20,08:49:01,4,130,P,P,0.5656,1.8366,0.8038,326.8,185.5,0,1,-130,-3243606867000,-3243602628000,,-3243597063000,,-3243591498000,-3243587259000
09340,1867-09-14,00:26:27,3,135,P,P,-0.6239,1.7309,0.6956,325.5,177.8,0,-4,-7,-3228257781000,-3228253350000,,-3228248016000,,-3228242682000,-3228238251000
09341,1868-02-08,09:49:41,3,102,N,N,-1.4252,0.2288,-0.7433,126.2,0,0,14,-144,-3215517208000,,,-3215513422000,,,-3215509636000
09342,1868-03-08,20:09:48,3,140,N,N,1.2339,0.585,-0.3975,198.9,0,0,6,61,-3212976582000,,,-3212970615000,,,-3212964648000
09343,1868-08-03,12:09:13,2,107,N,N,1.474,0.1894,-0.8825,133.5,0,0,-16,179,-3200216254000,,,-3200212249000,,,-3200208244000
09344,1868-09-02,03:41:27,2,145,N,N,-1.4012,0.3242,-0.7499,171.9,0,0,-9,-55,-3197655872000,,,-3197650715000,,,-3197645558000
09345,1869-01-28,01:38:27,2,112,P,P,-0.7733,1.4272,0.4507,279.5,137.9,0,17,-21,-3184879280000,-3184875032000,,-3184870895000,,-3184866758000,-3184862510000
09346,1869-07-23,14:02:45,1,117,P,P,0.6961,1.6017,0.5599,323.8,165.8,0,-19,151,-3169629550000,-3169624810000,,-3169619836000,,-3169614862000,-3169610122000
09347,1870-01-17,14:46:33,1,122,T,T-,-0.1037,2.6789,1.6566,340.7,218.7,98.2,21,141,-3154248229000,-3154244569000,-3154240954000,-3154238008000,-3154235062000,-3154231447000,-3154227787000
09348,1870-07-12,22:34:23,0,127,T,T-,-0.1023,2.6636,1.6769,336,219.1,99.7,-22,23,-3139013617000,-3139010110000,-3139006528000,-3139003537000,-3139000546000,-3138996964000,-3138993457000
09424,1902-04-22,18:52:40,0,120,T,T-,-0.268,2.4002,1.3327,364.3,224.6,84.6,-12,76,-2136269369000,-2136265178000,-2136260978000,-2136258440000,-2136255902000,-2136251702000,-2136247511000
09425,1902-10-17,06:03:26,1,125,T,T+,0.2201,2.4514,1.4566,330.4,212.3,88.8,9,-95,-2120935307000,-2120931764000,-2120928059000,-2120925395000,-2120922731000,-2120919026000,-2120915483000
09426,1903-04-12,00:12:59,2,130,P,P,0.4798,1.9877,0.9677,330.1,196.5,0,-8,-3,-2105663526000,-2105659518000,,-2105653623000,,-2105647728000,-2105643720000
09427,1903-10-06,15:17:33,2,135,P,P,-0.528,1.9133,0.8654,337.5,193.7,0,4,128,-2090316674000,-2090312360000,,-2090306549000,,-2090300738000,-2090296424000
09428,1904-03-02,03:02:34,3,102,N,N,-1.4528,0.1748,-0.791,110.5,0,0,6,-43,-2077566764000,,,-2077563449000,,,-2077560134000
09429,1904-03-31,12:32:28,3,140,N,N,1.1665,0.7036,-0.2688,214.2,0,0,-3,173,-2075030081000,,,-2075023655000,,,-2075017229000
09430,1904-09-24,17:34:44,3,145,N,N,-1.2837,0.544,-0.5384,219.1,0,0,-1,95,-2059719292000,,,-2059712719000,,,-2059706146000
09431,1905-02-19,19:00:02,4,112,P,P,-0.7984,1.3809,0.4049,277.2,132.1,0,11,78,-2046928718000,-2046924365000,,-2046920402000,,-2046916439000,-2046912086000
09432,1905-08-15,03:40:59,5,117,P,P,0.8456,1.3259,0.2871,302.3,123.1,0,-14,-54,-2031691815000,-2031686439000,,-2031682746000,,-2031679053000,-2031673677000
09433,1906-02-09,07:46:58,5,122,T,T-,-0.1199,2.6507,1.6254,342.8,219.4,97.8,15,-113,-2016299071000,-2016295369000,-2016291721000,-2016288787000,-2016285853000,-2016282205000,-2016278503000
09434,1906-08-04,13:00:10,6,127,T,T+,0.0477,2.7615,1.7793,333.9,218.7,101.2,-17,166,-2001073613000,-2001070157000,-2001066632000,-2001063596000,-2001060560000,-2001057035000,-2001053579000
09435,1907-01-29,13:38:00,6,132,P,P,0.6027,1.7936,0.711,341.1,183.5,0,19,159,-1985692359000,-1985687631000,,-1985682126000,,-1985676621000,-1985671893000
09436,1907-07-25,04:22:27,7,137,P,P,-0.6924,1.5595,0.6149,284.5,156.8,0,-21,-64,-1970431195000,-1970427364000,,-1970422660000,,-1970417956000,-1970414125000
09437,1908-01-18,13:21:36,8,142,N,N,1.2939,0.537,-0.5685,219.5,0,0,22,162,-1955104097000,,,-1955097512000,,,-1955090927000
09438,1908-06-14,14:06:32,8,109,N,N,1.1053,0.8135,-0.1541,229.9,0,0,-22,149,-1942314513000,,,-1942307616000,,,-1942300719000
09439,1908-07-13,21:33:55,8,147,N,N,-1.4185,0.2292,-0.7195,126.3,0,0,-23,38,-1939778962000,,,-1939775173000,,,-1939771384000
09441,1909-06-04,01:28:51,10,119,T,T,0.3755,2.18,1.158,341.6,210.2,60.4,-22,-23,-1911691327000,-1911687385000,-1911682891000,-1911681079000,-1911679267000,-1911674773000,-1911670831000
09442,1909-11-27,08:54:41,10,124,T,T-,-0.2712,2.3544,1.366,322.8,206.5,81.2,21,-137,-1896457613000,-1896454124000,-1896450365000,-1896447929000,-1896445493000,-1896441734000,-1896438245000
09443,1910-05-24,05:34:16,11,129,T,T,-0.3975,2.1625,1.095,360.3,215.4,49.5,-21,-85,-1881091564000,-1881087217000,-1881082240000,-1881080755000,-1881079270000,-1881074293000,-1881069946000
09444,1910-11-17,00:20:52,12,134,T,T,0.4089,2.0905,1.1246,307.7,193,50.6,19,-9,-1865815991000,-1865812550000,-1865808278000,-1865806760000,-1865805242000,-1865800970000,-1865797529000
09445,1911-05-13,05:56:24,12,139,N,N,-1.1413,0.7987,-0.2706,257,0,0,-19,-90,-1850501538000,,,-1850493828000,,,-1850486118000
09446,1911-11-06,15:36:45,13,144,N,N,1.11,0.8154,-0.1733,230.6,0,0,17,121,-1835173126000,,,-1835166208000,,,-1835159290000
09447,1912-04-01,22:14:16,13,111,P,P,0.9116,1.1884,0.182,275.8,95.2,0,-4,28,-1822449831000,-1822444413000,,-1822441557000,,-1822438701000,-1822433283000
09448,1912-09-26,11:44:50,14,116,P,P,-0.932,1.1779,0.1183,293.9,81.7,0,0,-178,-1807108941000,-1807102575000,,-1807100124000,,-1807097673000,-1807091307000
09449,1913-03-22,11:57:49,15,121,T,T+,0.1671,2.534,1.5683,319.7,209.4,92.8,0,-178,-1791816137000,-1791812828000,-1791809330000,-1791806546000,-1791803762000,-1791800264000,-1791796955000
09450,1913-09-15,12:48:19,15,126,T,T-,-0.2109,2.5122,1.4304,373,230.5,93.5,-3,167,-1776521906000,-1776517631000,-1776513521000,-1776510716000,-1776507911000,-1776503801000,-1776499526000
09451,1914-03-12,04:13:08,16,131,P,P,-0.5254,1.8764,0.9111,301.5,181.5,0,3,-61,-1761171473000,-1761167873000,,-1761162428000,,-1761156983000,-1761153383000
09452,1914-09-04,13:54:57,17,136,P,P,0.5301,1.9127,0.8585,343.2,196,0,-7,151,-1745931416000,-1745927000000,,-1745921120000,,-1745915240000,-1745910824000
09453,1915-01-31,04:57:42,17,103,N,N,1.545,0.0451,-0.9989,62,0,0,19,-70,-1733081615000,,,-1733079755000,,,-1733077895000
09454,1915-03-01,18:19:32,17,141,N,N,-1.2573,0.5548,-0.4528,199.8,0,0,7,88,-1730532039000,,,-1730526045000,,,-1730520051000
09455,1915-07-26,12:24:39,18,108,N,N,-1.3553,0.3545,-0.6129,158.7,0,0,-21,176,-1717851300000,,,-1717846539000,,,-1717841778000
09456,1915-08-24,21:27:17,18,146,N,N,1.2435,0.575,-0.4226,204.4,0,0,-10,38,-1715314513000,,,-1715308381000,,,-1715302249000
09457,1916-01-20,08:39:41,18,113,P,P,0.9146,1.2277,0.1327,305.7,87.7,0,21,-127,-1702490008000,-1702483468000,,-1702480837000,,-1702478206000,-1702471666000
09458,1916-07-15,04:46:07,19,118,P,P,-0.5956,1.7351,0.7944,292.4,172.5,0,-22,-70,-1687210824000,-1687207227000,,-1687202052000,,-1687196877000,-1687193280000
09459,1917-01-08,07:44:48,19,123,T,T+,0.2415,2.4663,1.3642,373.1,227.3,87.6,23,-114,-1671909724000,-1671905350000,-1671901159000,-1671898531000,-1671895903000,-1671891712000,-1671887338000
09460,1917-07-04,21:39:04,20,128,T,T+,0.1419,2.5762,1.6185,322.9,212.8,96,-23,36,-1656565363000,-1656562060000,-1656558556000,-1656555676000,-1656552796000,-1656549292000,-1656545989000
09461,1917-12-28,09:46:32,20,133,T,T,-0.4484,2.0652,1.0056,343,202.3,12,23,-146,-1641315918000,-1641311697000,-1641305988000,-1641305628000,-1641305268000,-1641299559000,-1641295338000
09462,1918-06-24,10:28:03,20,138,P,P,0.9397,1.1376,0.1297,276.3,82.4,0,-23,-157,-1625932226000,-1625926409000,,-1625923937000,,-1625921465000,-1625915648000
09463,1918-12-17,19:06:01,21,143,N,N,-1.1035,0.834,-0.1679,234.9,0,0,22,73,-1610693507000,,,-1610686460000,,,-1610679413000
09464,1919-05-15,01:14:00,21,110,N,N,-1.082,0.9103,-0.1644,273.1,0,0,-20,-20,-1597885374000,,,-1597877181000,,,-1597868988000
09465,1919-11-07,23:44:28,21,115,P,P,0.9246,1.1445,0.178,256.7,89.8,0,17,0,-1582597454000,-1582592447000,,-1582589753000,,-1582587059000,-1582582052000
09466,1920-05-03,01:51:08,21,120,T,T,-0.3312,2.2818,1.2194,360.1,219.7,71.5,-16,-29,-1567300156000,-1567295944000,-1567291498000,-1567289353000,-1567287208000,-1567282762000,-1567278550000
09467,1920-10-27,14:11:38,22,125,T,T+,0.2502,2.3992,1.3987,330.9,211.1,85,13,143,-1551962051000,-1551958457000,-1551954674000,-1551952124000,-1551949574000,-1551945791000,-1551942197000
09468,1921-04-22,07:44:39,22,130,T,T,0.4269,2.0816,1.0678,331.9,202,40.1,-12,-116,-1536692500000,-1536688603000,-1536683746000,-1536682543000,-1536681340000,-1536676483000,-1536672586000
09469,1921-10-16,22:53:59,22,135,P,P,-0.4902,1.9858,0.9317,342.1,199.1,0,9,13,-1521345446000,-1521341156000,,-1521335183000,,-1521329210000,-1521324920000
09470,1922-03-13,11:28:48,23,102,N,N,-1.4752,0.132,-0.8304,96.3,0,0,2,-170,-1508591984000,,,-1508589095000,,,-1508586206000
09471,1922-04-11,20:32:12,23,140,N,N,1.1228,0.7812,-0.1863,223.2,0,0,-7,53,-1506057587000,,,-1506050891000,,,-1506044195000
09472,1922-10-06,00:43:50,23,145,N,N,-1.2348,0.6358,-0.4508,235.2,0,0,4,-13,-1490750049000,,,-1490742993000,,,-1490735937000
09473,1923-03-03,03:32:09,23,112,P,P,-0.8175,1.3453,0.3701,275.2,127.1,0,6,-50,-1477953950000,-1477949507000,,-1477945694000,,-1477941881000,-1477937438000
09474,1923-08-26,10:39:52,23,117,P,P,0.9133,1.2013,0.1634,290.8,94.2,0,-10,-160,-1462722355000,-1462716457000,,-1462713631000,,-1462710805000,-1462704907000
09475,1924-02-20,16:08:55,24,122,T,T-,-0.1338,2.6256,1.5995,343.6,219.7,97.1,11,121,-1447324997000,-1447321280000,-1447317602000,-1447314689000,-1447311776000,-1447308098000,-1447304381000
09476,1924-08-14,20:20:30,24,127,T,T+,0.1175,2.6326,1.6519,332,216.9,98.2,-14,56,-1432103154000,-1432099701000,-1432096140000,-1432093194000,-1432090248000,-1432086687000,-1432083234000
09477,1925-02-08,21:42:22,24,132,P,P,0.5921,1.8134,0.7304,342.9,185.7,0,15,38,-1416719369000,-1416714653000,,-1416709082000,,-1416703511000,-1416698795000
09478,1925-08-04,11:52:57,24,137,P,P,-0.6208,1.6909,0.7463,291.2,168.9,0,-18,-177,-1401460383000,-1401456714000,,-1401451647000,,-1401446580000,-1401442911000
09479,1926-01-28,21:20:24,24,142,N,N,1.2836,0.5551,-0.5488,222.6,0,0,19,43,-1386131478000,,,-1386124800000,,,-1386118122000
09480,1926-06-25,21:25:07,24,109,N,N,1.1814,0.6749,-0.2948,213.1,0,0,-22,40,-1373343710000,,,-1373337317000,,,-1373330924000
09481,1926-07-25,05:00:12,24,147,N,N,-1.3511,0.3542,-0.597,155.5,0,0,-21,-73,-1370809077000,,,-1370804412000,,,-1370799747000
09483,1927-06-15,08:24:41,24,119,T,T,0.4543,2.0365,1.0123,338.1,202.8,17.7,-23,-126,-1342722286000,-1342718227000,-1342712674000,-1342712143000,-1342711612000,-1342706059000,-1342702000000
09484,1927-12-08,17:35:10,24,124,T,T,-0.2796,2.3389,1.351,321.8,205.6,79.8,22,94,-1327482368000,-1327478882000,-1327475108000,-1327472714000,-1327470320000,-1327466546000,-1327463060000
09485,1928-06-03,12:09:57,24,129,T,T,-0.3175,2.3092,1.2421,365.2,223,75.3,-23,177,-1312123983000,-1312119717000,-1312115286000,-1312113027000,-1312110768000,-1312106337000,-1312102071000
09486,1928-11-27,09:01:47,24,134,T,T,0.3952,2.1166,1.1486,308.7,194.2,54.8,22,-139,-1296840778000,-1296837343000,-1296833161000,-1296831517000,-1296829873000,-1296825691000,-1296822256000
09487,1929-05-23,12:37:45,24,139,N,N,-1.065,0.9367,-0.1287,273.7,0,0,-21,169,-1281533970000,,,-1281525759000,,,-1281517548000
09488,1929-11-17,00:03:13,24,144,N,N,1.0947,0.846,-0.1474,235,0,0,20,-5,-1266198881000,,,-1266191831000,,,-1266184781000
09489,1930-04-13,05:58:54,24,111,P,P,0.9545,1.1066,0.1064,267.3,73.4,0,-8,-89,-1253477709000,-1253471892000,,-1253469690000,,-1253467488000,-1253461671000
09490,1930-10-07,19:07:10,24,116,P,P,-0.9811,1.0906,0.0252,286.6,38.3,0,5,71,-1238138192000,-1238130743000,,-1238129594000,,-1238128445000,-1238120996000
09491,1931-04-02,20:07:55,24,121,T,T+,0.2043,2.4637,1.5021,317.9,207.8,89.6,-5,59,-1222842686000,-1222839383000,-1222835837000,-1222833149000,-1222830461000,-1222826915000,-1222823612000
09492,1931-09-26,19:48:29,24,126,T,T-,-0.2698,2.4058,1.3208,371.2,226.9,84.2,1,61,-1207552651000,-1207548322000,-1207544041000,-1207541515000,-1207538989000,-1207534708000,-1207530379000
09493,1932-03-22,12:32:39,24,131,P,P,-0.4956,1.9303,0.9666,303.8,185.3,0,-1,173,-1192197579000,-1192194024000,,-1192188465000,,-1192182906000,-1192179351000
09494,1932-09-14,21:01:00,24,136,P,P,0.4664,2.0296,0.9752,347.2,204,0,-3,43,-1176961980000,-1176957684000,,-1176951564000,,-1176945444000,-1176941148000
09495,1933-02-10,13:17:33,24,103,N,N,1.56,0.0182,-1.027,39.6,0,0,16,165,-1164106959000,,,-1164105771000,,,-1164104583000
09496,1933-03-12,02:33:03,24,141,N,N,-1.2369,0.5923,-0.4154,206.3,0,0,2,-36,-1161558630000,,,-1161552441000,,,-1161546252000
09497,1933-08-05,19:46:05,24,108,N,N,-1.4216,0.2322,-0.7338,129.5,0,0,-18,66,-1148879944000,,,-1148876059000,,,-1148872174000
09498,1933-09-04,04:52:20,24,146,N,N,1.1776,0.6955,-0.3013,221.4,0,0,-6,-74,-1146344326000,,,-1146337684000,,,-1146331042000
09499,1934-01-30,16:42:42,24,113,P,P,0.9258,1.2073,0.112,304.3,80.9,0,18,113,-1133516991000,-1133510289000,,-1133507862000,,-1133505435000,-1133498733000
09500,1934-07-26,12:15:38,24,118,P,P,-0.6681,1.6025,0.6612,285.7,160.8,0,-20,178,-1118239657000,-1118235910000,,-1118231086000,,-1118226262000,-1118222515000
09501,1935-01-19,15:47:35,24,123,T,T+,0.2498,2.4502,1.3499,372.1,226.7,86.3,21,126,-1102936732000,-1102932370000,-1102928158000,-1102925569000,-1102922980000,-1102918768000,-1102914406000
09502,1935-07-16,05:00:05,24,128,T,T+,0.0672,2.7146,1.7542,325,214.8,99.6,-21,-73,-1087594969000,-1087591663000,-1087588207000,-1087585219000,-1087582231000,-1087578775000,-1087575469000
09503,1936-01-08,18:09:58,24,133,T,T,-0.4428,2.074,1.0173,342.1,202.5,20.8,22,89,-1072341689000,-1072337501000,-1072332050000,-1072331426000,-1072330802000,-1072325351000,-1072321163000
09504,1936-07-04,17:25:23,24,138,P,P,0.8642,1.2778,0.2668,289.5,116.3,0,-22,100,-1056963586000,-1056958390000,,-1056954901000,,-1056951412000,-1056946216000
09505,1936-12-28,03:49:09,24,143,N,N,-1.097,0.8451,-0.155,235.5,0,0,22,-57,-1041718140000,,,-1041711075000,,,-1041704010000
09506,1937-05-25,07:51:34,24,110,N,N,-1.1581,0.7697,-0.3033,254.7,0,0,-22,-119,-1028916971000,,,-1028909330000,,,-1028901689000
09507,1937-11-18,08:19:26,24,115,P,P,0.9421,1.1141,0.1443,254.5,81.3,0,20,-129,-1013622493000,-1013617297000,,-1013614858000,,-1013612419000,-1013607223000
09508,1938-05-14,08:44:00,24,120,T,T,-0.3994,2.154,1.0966,354.9,213.1,49.4,-19,-132,-998331231000,-998326977000,-998322066000,-998320584000,-998319102000,-998314191000,-998309937000
09509,1938-11-07,22:26:42,24,125,T,T,0.2738,2.3585,1.3525,331.5,210.2,81.4,17,19,-982988367000,-982984728000,-982980864000,-982978422000,-982975980000,-982972116000,-982968477000
09510,1939-05-03,15:11:43,24,130,T,T,0.3693,2.1842,1.1765,333.5,207.1,62.4,-15,131,-967721726000,-967717934000,-967713593000,-967711721000,-967709849000,-967705508000,-967701716000
09511,1939-10-28,06:36:43,24,135,P,P,-0.4581,2.0477,0.9877,346.1,203.4,0,12,-103,-952373804000,-952369523000,,-952363421000,,-952357319000,-952353038000
09512,1940-03-23,19:48:19,24,102,N,N,-1.5033,0.0788,-0.8803,74.6,0,0,-3,64,-939617363000,,,-939615125000,,,-939612887000
09513,1940-04-22,04:26:25,25,140,N,N,1.0741,0.8683,-0.0945,232.5,0,0,-11,-67,-937085415000,,,-937078440000,,,-937071465000
09514,1940-10-16,08:01:17,25,145,N,N,-1.1924,0.7156,-0.3749,248,0,0,8,-124,-921780188000,,,-921772748000,,,-921765308000
09515,1941-03-13,11:55:47,25,112,P,P,-0.8436,1.297,0.3226,272.2,119.8,0,2,-177,-908979644000,-908975072000,,-908971478000,,-908967884000,-908963312000
09516,1941-09-05,17:47:15,25,117,P,P,0.9746,1.0884,0.0511,279.3,53.4,0,-6,93,-893752369000,-893745592000,,-893743990000,,-893742388000,-893735611000
09517,1942-03-03,00:21:54,25,122,T,T-,-0.1545,2.5879,1.5612,344.3,219.7,95.9,7,-2,-878351440000,-878347702000,-878343988000,-878341111000,-878338234000,-878334520000,-878330782000
09518,1942-08-26,03:48:25,26,127,T,T+,0.1818,2.5142,1.5344,329.5,214.2,93.4,-10,-57,-863132206000,-863128747000,-863125123000,-863122321000,-863119519000,-863115895000,-863112436000
09519,1943-02-20,05:38:23,26,132,P,P,0.5751,1.8444,0.7616,345.1,189,0,12,-81,-847746876000,-847742193000,,-847736523000,,-847730853000,-847726170000
09520,1943-08-15,19:28:46,26,137,P,P,-0.5533,1.8152,0.8697,296.7,178.4,0,-15,69,-832489201000,-832485652000,,-832480300000,,-832474948000,-832471399000
09521,1944-02-09,05:14:57,26,142,N,N,1.2698,0.5792,-0.5223,226.7,0,0,16,-75,-817159130000,,,-817152329000,,,-817145528000
09522,1944-07-06,04:40:01,27,109,N,N,1.2596,0.5328,-0.4398,192.7,0,0,-21,-69,-804373007000,,,-804367226000,,,-804361445000
09523,1944-08-04,12:26:51,27,147,N,N,-1.2842,0.4785,-0.4758,179.1,0,0,-18,175,-801838989000,,,-801833616000,,,-801828243000
09525,1945-06-25,15:14:22,27,119,P,P,0.537,1.8862,0.8593,333.3,192.7,0,-23,132,-773753564000,-773749346000,,-773743565000,,-773737784000,-773733566000
09526,1945-12-19,02:20:47,27,124,T,T,-0.2845,2.3293,1.3424,320.9,204.9,78.9,23,-36,-758506807000,-758503327000,-758499547000,-758497180000,-758494813000,-758491033000,-758487553000
09527,1946-06-14,18:39:17,28,129,T,T-,-0.2324,2.4654,1.3983,369.2,229,91.1,-23,80,-743156747000,-743152541000,-743148404000,-743145671000,-743142938000,-743138801000,-743134595000
09528,1946-12-08,17:48:28,28,134,T,T,0.3864,2.1337,1.1639,309.5,194.9,57.3,23,91,-727865205000,-727861767000,-727857639000,-727855920000,-727854201000,-727850073000,-727846635000
09529,1947-06-03,19:15:44,28,139,P,P,-0.9849,1.0818,0.0202,288.9,34.7,0,-23,70,-712566551000,-712558925000,,-712557884000,,-712556843000,-712549217000
09530,1947-11-28,08:34:29,28,144,N,N,1.0838,0.8683,-0.1297,238.3,0,0,22,-132,-697224308000,,,-697217159000,,,-697210010000
09531,1948-04-23,13:39:18,28,111,P,P,1.0016,1.0171,0.0229,257.6,34.3,0,-12,155,-684505798000,-684499099000,,-684498070000,,-684497041000,-684490342000
09533,1949-04-13,04:11:25,29,121,T,T+,0.2474,2.3825,1.4251,315.8,205.7,84.9,-9,-62,-653869618000,-653866315000,-653862691000,-653860144000,-653857597000,-653853973000,-653850670000
09534,1949-10-07,02:56:55,29,126,T,T,-0.3219,2.3118,1.2236,369.2,222.9,72.8,5,-47,-638582890000,-638578501000,-638573998000,-638571814000,-638569630000,-638565127000,-638560738000
09535,1950-04-02,20:44:34,29,131,T,T,-0.4598,1.9951,1.0329,306.5,189.6,26.9,-5,50,-623224150000,-623220643000,-623215762000,-623214955000,-623214148000,-623209267000,-623205760000
09536,1950-09-26,04:17:11,29,136,T,T,0.4101,2.1331,1.0783,350.1,209.8,44.3,1,-66,-607991901000,-607987692000,-607982727000,-607981398000,-607980069000,-607975104000,-607970895000
09537,1951-03-23,10:37:33,30,141,N,N,-1.2099,0.6418,-0.3661,214.3,0,0,-2,-158,-592585806000,,,-592579377000,,,-592572948000
09538,1951-08-17,03:14:39,30,108,N,N,-1.4828,0.1195,-0.8456,93.6,0,0,-15,-47,-579907959000,,,-579905151000,,,-579902343000
09539,1951-09-15,12:27:06,30,146,N,N,1.1186,0.8034,-0.1928,234.6,0,0,-2,172,-577373442000,,,-577366404000,,,-577359366000
09540,1952-02-11,00:39:48,30,113,P,P,0.9416,1.1781,0.0832,301.9,70.1,0,15,-6,-564544299000,-564537345000,,-564535242000,,-564533139000,-564526185000
09541,1952-08-05,19:47:55,30,118,P,P,-0.7383,1.4741,0.5317,278.4,147.2,0,-18,65,-549268307000,-549264371000,,-549259955000,,-549255539000,-549251603000
09542,1953-01-29,23:47:49,30,123,T,T+,0.2606,2.4291,1.3314,371,225.8,84.5,18,7,-533963891000,-533959535000,-533955296000,-533952761000,-533950226000,-533945987000,-533941631000
09543,1953-07-26,12:21:10,30,128,T,T-,-0.0071,2.8265,1.8628,326.5,215.7,100.7,-19,176,-518624555000,-518621231000,-518617781000,-518614760000,-518611739000,-518608289000,-518604965000
09544,1954-01-19,02:32:21,31,133,T,T,-0.4357,2.0853,1.0322,341.2,202.9,28.2,20,-35,-503367526000,-503363377000,-503358136000,-503357290000,-503356444000,-503351203000,-503347054000
09545,1954-07-16,00:20:51,31,138,P,P,0.7876,1.4202,0.4054,301.6,140.9,0,-21,-4,-487995028000,-487990207000,,-487985980000,,-487981753000,-487976932000
09546,1955-01-08,12:33:20,31,143,N,N,-1.0906,0.8555,-0.1421,236,0,0,21,173,-472742711000,,,-472735631000,,,-472728551000
09547,1955-06-05,14:23:23,31,110,N,N,-1.2383,0.6218,-0.4498,232.3,0,0,-24,144,-459948797000,,,-459941828000,,,-459934859000
09548,1955-11-29,17:00:00,31,115,P,P,0.9551,1.0917,0.119,253,74.2,0,22,102,-444647221000,-444641857000,,-444639631000,,-444637405000,-444632041000
